"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","area"
"1",2,2,"Aug","2",94.8,108.3,647.1,17,17.4,43,6.7,1.07
"2",8,6,"Sep","4",93.7,80.9,685.2,17.9,23.7,25,4.5,1.12
"3",6,5,"Jun","5",92.5,56.4,433.3,7.1,23.2,39,5.4,1.19
"4",9,9,"Jul","7",90.1,68.6,355.2,7.2,24.8,29,2.2,1.36
"5",3,4,"Jul","6",90.1,51.2,424.1,6.2,24.6,43,1.8,1.43
"6",5,4,"Sep","5",94.3,85.1,692.3,15.9,20.1,47,4.9,1.46
"7",1,5,"Sep","6",93.4,145.4,721.4,8.1,29.6,27,2.7,1.46
"8",7,4,"Aug","7",94.8,108.3,647.1,17,16.4,47,1.3,1.56
"9",2,4,"Sep","6",93.4,145.4,721.4,8.1,28.6,27,2.2,1.61
"10",2,2,"Aug","3",92.1,111.2,654.1,9.6,18.4,45,3.6,1.63
"11",2,4,"Aug","3",92.1,111.2,654.1,9.6,20.5,35,4,1.64
"12",7,4,"Sep","5",92.4,117.9,668,12.2,19,34,5.8,1.69
"13",7,4,"Mar","1",90.1,39.7,86.6,6.2,16.1,29,3.1,1.75
"14",6,4,"Aug","4",95.2,131.7,578.8,10.4,20.3,41,4,1.9
"15",6,3,"Mar","6",90.6,50.1,100.4,7.8,15.2,31,8.5,1.94
"16",8,6,"Sep","6",92.5,121.1,674.4,8.6,17.8,56,1.8,1.95
"17",8,5,"Sep","7",89.7,90,704.4,4.8,17.8,67,2.2,2.01
"18",6,5,"Mar","4",84.9,18.2,55,3,5.3,70,4.5,2.14
"19",6,5,"Aug","3",92.1,111.2,654.1,9.6,16.6,47,0.9,2.29
"20",6,5,"Aug","3",96,127.1,570.5,16.5,23.4,33,4.5,2.51
"21",6,5,"Mar","5",91.2,48.3,97.8,12.5,14.6,26,9.4,2.53
"22",8,6,"Aug","4",95.2,131.7,578.8,10.4,20.7,45,2.2,2.55
"23",5,4,"Sep","3",92.9,133.3,699.6,9.2,21.9,35,1.8,2.57
"24",8,6,"Aug","3",85.6,90.4,609.6,6.6,17.4,50,4,2.69
"25",7,4,"Aug","7",91.4,142.4,601.4,10.6,20.1,39,5.4,2.74
"26",4,4,"Sep","1",90.9,126.5,686.5,7,17.7,39,2.2,3.07
"27",1,4,"Aug","6",90.2,96.9,624.2,8.9,14.2,53,1.8,3.5
"28",1,4,"Aug","6",90.2,96.9,624.2,8.9,20.3,39,4.9,4.53
"29",6,5,"Apr","4",81.5,9.1,55.2,2.7,5.8,54,5.8,4.61
"30",2,5,"Aug","7",90.2,99.6,631.2,6.3,19.2,44,2.7,4.69
"31",2,5,"Sep","3",90.1,82.9,735.7,6.2,18.3,45,2.2,4.88
"32",8,6,"Aug","2",88.8,147.3,614.5,9,14.4,66,5.4,5.23
"33",1,3,"Sep","7",92.4,124.1,680.7,8.5,23.9,32,6.7,5.33
"34",8,6,"Oct","1",84.9,32.8,664.2,3,19.1,32,4,5.44
"35",5,4,"Feb","7",86.8,15.6,48.3,3.9,12.4,53,2.2,6.38
"36",7,4,"Oct","1",91.7,48.5,696.1,11.1,16.8,45,4.5,6.83
"37",8,6,"Aug","5",93.9,135.7,586.7,15.1,20.8,34,4.9,6.96
"38",2,5,"Sep","2",91,129.5,692.6,7,17.6,46,3.1,7.04
"39",8,6,"Mar","7",89.3,51.3,102.2,9.6,11.5,39,5.8,7.19
"40",1,5,"Sep","1",90.9,126.5,686.5,7,21,42,2.2,7.3
"41",6,4,"Mar","6",90.8,41.9,89.4,7.9,13.3,42,0.9,7.4
"42",7,4,"Mar","7",90.7,44,92.4,5.5,11.5,60,4,8.24
"43",6,5,"Mar","5",91.2,48.3,97.8,12.5,11.7,33,4,8.31
"44",2,5,"Aug","4",95.2,131.7,578.8,10.4,24.2,28,2.7,8.68
