"FFMC","DMC","DC","ISI","temp","RH","area"
91,129.5,692.6,7,18.8,40,212.88
91,276.3,825.1,7.1,21.9,43,70.76
91.7,191.4,635.9,7.8,19.9,50,82.75
93.5,149.3,728.6,8.1,27.8,27,95.18
92.5,121.1,674.4,8.6,18.2,46,200.94
91.6,108.4,764,6.2,18,51,0
81.6,56.7,665.6,1.9,21.9,71,54.29
94.9,130.3,587.1,14.1,33.1,25,26.43
92.2,102.3,751.5,8.4,24.2,27,6.58
93.3,141.2,713.9,13.9,18.6,49,35.88
90.7,136.9,822.8,6.8,12.9,39,2.18
90.9,126.5,686.5,7,15.6,66,0
94.5,139.4,689.1,20,28.9,29,49.59
92.9,133.3,699.6,9.2,26.4,21,88.49
92.5,121.1,674.4,8.6,17.7,25,154.88
93.5,149.3,728.6,8.1,28.3,26,64.1
95.1,141.3,605.8,17.7,26.4,34,16.4
94,47.9,100.7,10.7,17.3,80,0
91.6,181.3,613,7.6,24.3,33,3.63
91.6,108.4,764,6.2,23,34,56.04
91,129.5,692.6,7,18.7,43,103.39
92.5,121.1,674.4,8.6,25.1,27,1090.84
96,164,643,14,30.8,30,8.59
90.1,82.9,735.7,6.2,15.4,57,37.71
91,129.5,692.6,7,20.7,37,17.2
93.7,80.9,685.2,17.9,23.2,26,23.41
91.6,273.8,819.1,7.7,21.3,44,12.18
89.7,90,704.4,4.8,17.8,67,2.01
94.8,222.4,698.6,13.9,27.5,27,746.28
91.7,191.4,635.9,7.8,26.2,36,185.76
84.4,73.4,671.9,3.2,24.3,36,105.66
91.6,248.4,753.8,6.3,20.5,58,42.87
94.8,227,706.7,12,25,36,0
